panelist,palestinian,mena,Race: w_bipoc,Race_details,Appearance date: pre-9/23=A; 10/23 - 9/24 = B; after 9/1/24=C,
Aaron Pacitti,0,0,W,W,A,
Alan Chartock,0,0,W,W,A,
Angela Ledford,0,0,W,W,B,
Anna Markowitz,0,0,W,W,B,
Cianna Freeman-Tolbert,0,0,B,AA,A,
Dan Irizarry,0,0,B,L,A,
David Soares,0,0,B,AA,A,
Dorcey Applyrs,0,0,B,AA,A,
Fran Berman,0,0,W,W,A,
Frederic Hof,0,0,W,W,A,
Grace Kwaitkowski,0,0,W,W,B,
Heather Mulligan,0,0,W,W,A,
Ira Fusfeld,0,0,W,W,A,
J.P. Miller,0,0,W,W,A,
Jay Jochnowitz,0,0,W,W,A,
Jenn Smith,0,0,B,AA,A,
Jennifer Burns,0,0,B,AA,A,
Jim Hendler,0,0,W,W,A,
Jim Ketterer,0,0,W,W,A,
John Faso,0,0,W,W,A,
Judith Enck,0,0,W,W,A,
Judy Patrick,0,0,W,W,A,
Kathy Sheehan,0,0,W,W,A,
Kristen van Ginhoven,0,0,W,W,A,
Laurel Elder,0,0,W,W,B,
Libby Post,0,0,W,W,A,
Lucas Helms,0,0,W,W,B,
Malia Du Mont,0,0,W,W,A,
March Gallagher,0,0,W,W,B,
Mark Wittman,0,0,W,W,A,
Mary Mueller,0,0,W,W,B,
Mike Spain,0,0,W,W,A,
Natasha Pernicka,0,0,W,W,B,
Nic Rangel,0,0,B,L,A,
Rich Honen,0,0,W,W,A,
Robert Griffin,0,0,W,W,A,
Rosemary Armao,0,0,W,W,A,
Sarah Rogerson,0,0,W,W,A,
Setsuko Winchester,0,0,B,As,B,
Terry Gipson,0,0,W,W,A,
Theresa Bourgeois,0,0,W,W,A,
Vera Eccarius-Kelly,0,0,W,W,A,
Bridget Berens,0,0,W,W,B,
George Wittman,0,0,W,W,B,
Kelany De La Cruz,0,0,B,AA,B,
Matt Fusfeld,0,0,W,W,B,
Michael Roth,0,0,W,W,B,
Riley Flanagan,0,0,W,W,B,
Svitlana Kukharuk,0,0,W,W,B,
Noshir Contractor,0,0,B,As,B,
Alex Nowrasteh,0,1,B,M,C,
Alfredo Medina,0,0,B,L,C,
Ali Vaez,0,1,B,M,C,
David Daley,0,0,W,W,C,
Fariba Pajooh,0,1,B,M,C,
Jaye Holly,0,0,B,AA,C,
Kathleen McLean,0,0,B,AA,C,
Lev Parnas,0,0,W,W,C,
Lyndsey Stonebridge,0,0,W,W,C,
Martin Baron,0,0,W,W,C,
Nancy Rosenblum,0,0,W,W,C,
Nathan Brown,0,0,W,W,C,
Pavlina Tcherneva,0,0,W,W,C,
Philip Glotzbach,0,0,W,W,C,
Rachael Cobb,0,0,W,W,C,
Roger Berkowitz,0,0,W,W,C,
Russ Buettner,0,0,W,W,C,
Russell Muirhead,0,0,W,W,C,
Shai Lavi,0,1,B,M,C,
Uday Singh Mehta,0,0,B,As,C,
Susanne Craig,0,0,W,W,C,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
