panelist,subject_expert,academic,academic_admin,student,pal_student,journalist,defense_co_rep,dod_dhs,non_def_corp_rep,fed_empl,fed_elect_or_staff,agreg_fed,state_co_city_empl,state_co_city_elect_staff,agreg_stat_co_muni,attorney,nonprof_empl,activist,intl_rts_aid_org,jewish,muslim,palestinian,mena,w_bipoc,gender,elect_emply_polparty,nys_dem
Aaron Pacitti,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,W,M,0,0
Angela Everett,,,,,,,,,,,,,,,,,,,,,,,,W,F,,
Anna Markowitz,0,0,0,0,0,0,0,0,0,0,1,1,0,1,1,0,0,0,0,0,0,0,0,W,F,DEM,1
Arthur Paschoal,,,,1,,,,,,,,,,,,,,,,,,,,W,M,,
Bill Hammond,,,,,,1,,,,,,,,,,,1,,,,,,,W,M,,
Bobby Twohig,,,,,,,,,,,,,,,,,,,,,,,,W,M,,
Cianna Freeman-Tolbert,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,B,F,0,0
Courtney D'Allaird,,1,1,,,,,,,,,,,,,,,1,,,,,,W,T,,
Ethan Thate,,,,,,1,,,,,,,,,,,,,,,,,,W,M,,
Fran Berman,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,W,F,0,0
Frederic Hof,1,1,1,0,0,0,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,W,M,0,0
Gwen Wright,,,,,,,,,,,,,1,1,1,,,1,,,,,,B,F,DEM,1
Heather Mulligan,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,1,0,0,0,0,0,0,0,W,F,DEM,1
J.P. Miller,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,W,M,GOP,0
Jackson Cayward,,,,1,,,,,,,,,,,,,,,,,,,,W,M,,
Jacob Snell,,,,1,,,,,,,,,,,,,,,,,,,,W,M,,
Jade O'Connell,,,,1,,,,,,,,,,,,,,,,,,,,W,F,,
Jay Jochnowitz,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,W,M,0,0
Jeff Goodell,,,,,,1,,,,,,,,,,,,,,,,,,W,M,,
Jim Hendler,0,1,0,0,0,0,1,1,1,0,0,1,1,0,1,0,0,0,0,0,0,0,0,W,M,DEM,1
Jim Ketterer,1,1,1,0,0,0,0,1,0,0,1,1,1,0,1,0,0,0,0,0,0,0,0,W,M,DEM,1
Joao Becker,,,,1,,,,,,,,,,,,,,,,,,,,L,M,,
John B Lewis,,,,,,,,,,,,,1,1,,,,,,,,,,W,M,DEM,1
John Faso,0,0,0,0,0,0,0,0,1,0,1,1,0,1,1,1,0,0,0,0,0,0,0,W,M,GOP,0
Josef Reed,,,,1,,,,,,,,,,,,,,,,,,,,W,M,,
Judith Enck,0,1,0,0,0,0,0,0,0,1,0,1,1,0,1,0,1,1,0,0,0,0,0,W,F,DEM,1
Judy Patrick,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,W,F,0,0
Kaci Owens,,,,1,,,,,,,,,,,,,,,,,,,,W,F,,
Kathy Sheehan,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,1,0,0,0,0,0,0,0,W,F,DEM,1
Kevin Bailey,,,1,,,,,,1,,,,,,,,,,,,,,,W,M,,
Kristen van Ginhoven,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,W,F,0,0
Kyah Gigliotti,,,,1,,,,,,,,,,,,,,,,,,,,W,F,,
Laurel Elder,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,W,F,0,0
Libby Post,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,W,F,DEM,1
Madeline Trotta,,,,1,,,,,,,,,,,,,,,,,,,,W,F,,
Malia Du Mont,1,0,1,0,0,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,W,F,DEM,1
March Gallagher,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,1,0,0,0,W,F,DEM,1
Mark Wittman,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,W,M,0,0
Matthew Connor,,,,1,,,,,,,,,,,,,,,,,,,,W,M,,
Mike Spain,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,W,M,0,0
Molly McBain,,,,1,,,,,,,,,,,,,,,,,,,,W,F,,
Nic Rangel,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,1,0,0,0,0,0,0,B,F,DEM,1
Rich Honen,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,W,M,0,0
Robert Griffin,1,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,W,M,0,0
Ron Zacchi,,,,,,,,,,,,,1,,1,,1,,,,,,,W,M,DEM,1
Rosa Alfano,,,,1,,,,,,,,,,,,,,,,,,,,W,F,,
Sarah Rogerson,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,W,F,0,0
Sidney Tovar,,,,1,,,,,,,,,,,,,,,,,,,,B,F,,
Stephan Hengst,,,,,,,,,,,,,,,,,,,,,,,,W,M,,
Tandra LaGrone,,,,,,,,,,,,,,,,,1,,,,,,,B,F,,
Terry Gipson,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,W,M,DEM,1
Theresa Bourgeois,0,0,1,0,0,0,0,0,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,W,F,DEM,1
Vera Eccarius-Kelly,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,W,F,,0
Ira Fusfeld,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,W,M,,
Bob Bellafiore,0,0,0,0,0,1,0,0,1,0,0,0,,1,1,0,0,0,0,0,0,0,0,W,M,DEM,1
Doreen Harris,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,W,F,DEM,1
Elizabeth Kolbert,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,W,F,,
Joanne Kenen,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,W,F,,
Julie Rovner,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,W,F,,
Karin Riedl,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,W,F,,
Marc Molinaro,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,W,M,GOP,0
Nilanjana Dasgupta,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,B,F,,
Paul Burgdorf,0,0,0,0,0,0,0,0,1,0,0,0,1,1,2,0,0,0,0,,0,0,0,W,M,GOP,0
