Program date,panelist_name1,panelist_name2,panelist_name3,panelist_name4,panelist_name5,panelist_name6,panelist_name7,panelist_name8,palestinian_count,mena_count,w_count,bipoc_count,dod_dhs_count,intl_rts_aid_org_count,gop_count,dem_count,nys_dem_count,TOTAL PANELISTS,PROP WHITE
10/9/2023,Frederic Hof,Jim Ketterer,Libby Post,,,,,,0,0,3,0,2,0,0,2,2,3,1
10/10/2023,Malia Du Mont,Frederic Hof,Mark Wittman,,,,,,0,0,3,0,2,0,0,1,1,3,1
10/11/2023,Vera Eccarius-Kelly,Robert Griffin,Jim Hendler,Libby Post,,,,,0,0,4,0,2,0,0,2,2,4,1
10/12/2023,Cianna Freeman-Tolbert,Ira Fusfeld,Judy Patrick,,,,,,0,0,2,1,0,0,0,0,0,3,0.666666667
10/13/2023,Heather Mulligan,Judy Patrick,David Soares,Kristen van Ginhoven,,,,,0,0,3,1,0,0,0,2,2,4,0.75
10/23/2023,Fran Berman,Terry Gipson,Libby Post,,,,,,0,0,3,0,0,0,0,2,2,3,1
10/24/2023,John Faso,Rich Honen,Jay Jochnowitz,Judy Patrick,,,,,0,0,4,0,0,0,1,0,0,4,1
10/25/2023,Vera Eccarius-Kelly,Robert Griffin,Jim Ketterer,,,,,,0,0,3,0,2,0,0,1,1,3,1
10/26/2023,Dorcey Applyrs,Ira Fusfeld,Nic Rangel,Mike Spain,,,,,0,0,2,2,0,0,0,2,2,4,0.5
10/27/2023,Theresa Bourgeois,Judith Enck,Frederic Hof,Aaron Pacitti,Lucas Helms,,,,0,0,5,0,1,0,1,2,2,5,1
10/30/2023,Fran Berman,Libby Post,Sarah Rogerson,,,,,,0,0,3,0,0,0,0,1,1,3,1
10/31/2023,Malia Du Mont,Jim Hendler,J.P. Miller,Kristen van Ginhoven,,,,,0,0,4,0,2,0,1,2,2,4,1
11/1/2023,Cianna Freeman-Tolbert,Robert Griffin,Jay Jochnowitz,,,,,,0,0,2,1,1,0,0,0,0,3,0.666666667
11/2/2023,Theresa Bourgeois,Dan Irizarry,Mark Wittman,,,,,,0,0,2,1,0,0,0,1,1,3,0.666666667
11/3/2023,Theresa Bourgeois,Aaron Pacitti,David Soares,,,,,,0,0,2,1,0,0,0,2,2,3,0.666666667
11/6/2023,Libby Post,Sarah Rogerson,Jenn Smith,,,,,,0,0,2,1,0,0,0,1,1,3,0.666666667
11/7/2023,Malia Du Mont,Cianna Freeman-Tolbert,Frederic Hof,Jim Ketterer,Libby Post,David Soares,,,0,0,4,2,3,0,0,4,4,6,0.666666667
11/8/2023,Vera Eccarius-Kelly,Robert Griffin,Terry Gipson,Mark Wittman,,,,,0,0,4,0,1,0,0,1,1,4,1
11/9/2023,Dorcey Applyrs,Ira Fusfeld,Dan Irizarry,Judy Patrick,,,,,0,0,2,2,0,0,0,1,1,4,0.5
11/10/2023,Judith Enck,Frederic Hof,Aaron Pacitti,,,,,,0,0,3,0,1,0,0,1,1,3,1
11/13/2023,Jennifer Burns,Sarah Rogerson,Libby Post,,,,,,0,0,2,1,0,0,0,1,1,3,0.666666667
11/14/2023,Theresa Bourgeois,David Soares,Mike Spain,,,,,,0,0,2,1,0,0,0,2,2,3,0.666666667
11/15/2023,Malia Du Mont,Vera Eccarius-Kelly,Robert Griffin,,,,,,0,0,3,0,2,0,0,1,1,3,1
11/16/2023,Jim Hendler,Anna Markowitz,Judy Patrick,Mark Wittman,,,,,0,0,4,0,1,0,0,2,2,4,1
11/17/2023,March Gallagher,Frederic Hof,Heather Mulligan,,,,,,0,0,3,0,1,0,0,2,2,3,1
11/20/2023,Dan Irizarry,Jim Ketterer,Nic Rangel,Mark Wittman,,,,,0,0,2,2,1,0,0,2,2,4,0.5
11/21/2023,Malia Du Mont,Rich Honen,J.P. Miller,,,,,,0,0,3,0,1,0,1,1,1,3,1
